id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P4-001,part4,法定労働時間,basic,労働基準法において、使用者は、労働者に休憩時間を除き1週間について「40時間」を超えて労働させてはならない。,○,正解！法定労働時間の基本です。これを超えるには36協定が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-002,part4,解雇予告,basic,使用者は、労働者を解雇しようとする場合、少なくとも「30日前」にその予告をしなければならない。,○,正解！予告しない場合は、30日分以上の平均賃金（解雇予告手当）を支払わなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-003,part4,拘束時間・年,basic,"バス運転者の1年間の拘束時間は、原則として「3,300時間」を超えてはならない。",○,"正解！【2024年新基準】原則は3,300時間以内です。労使協定がある場合でも最大3,400時間までしか延長できません。",既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-004,part4,拘束時間・月,basic,バス運転者の1ヶ月の拘束時間は、原則として「281時間」を超えてはならない。,○,正解！【2024年新基準】トラック（284時間）やタクシー（288時間）とは数字が異なるので注意が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-005,part4,休息期間,basic,1日の休息期間（勤務終了から次の始業までの時間）は、継続「11時間以上」与えるよう努めることを基本とし、いかなる場合も「9時間」を下回ってはならない。,○,正解！【2024年新基準】以前の「継続8時間」から「継続9時間」に引き上げられました。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-006,part4,連続運転時間,basic,連続運転時間は「4時間」を超えてはならない。,○,正解！4時間経過する直後に、合計30分以上の休憩等を確保しなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-007,part4,連続運転中断休憩,basic,連続運転時間を中断するための休憩等は、1回あたり「10分以上」で分割することができる。,○,正解！10分未満の停止は休憩とみなされません。合計30分以上が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-008,part4,1日運転時間,basic,1日（始業から24時間）の運転時間は、2日（特定の日とその前日）を平均して「9時間」を超えてはならない。,○,正解！2日平均で9時間以内です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-009,part4,手待時間,basic,客待ち時間や荷待ち時間は、手待時間として「労働時間」に含まれる。,○,正解！使用者の指揮命令下にある時間は労働時間です。休憩時間ではありません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-010,part4,違約金・損害賠償予定,basic,使用者は、労働契約の不履行について違約金を定めたり、損害賠償額を予定する契約をしてはならない。,○,正解！「事故を起こしたら50万円払う」といった契約は無効です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-011,part4,36協定,basic,時間外労働（残業）をさせるには、労働者の過半数代表者と書面による協定（36協定）を締結し、所轄労働基準監督署長に届け出なければならない。,○,正解！これがなければ残業は違法です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-012,part4,年次有給休暇,basic,雇入れの日から6ヶ月間継続勤務し、全労働日の8割以上出勤した労働者に対しては、10労働日の年次有給休暇を与えなければならない。,○,正解！労働者の権利です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-013,part4,休日,basic,休日は、原則として「毎週少なくとも1回」与えなければならない。,○,正解！または4週間を通じて4日以上の変形休日制も可能です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-014,part4,時間外割増賃金,basic,法定時間外労働（週40時間超など）に対する割増賃金の率は、「2割5分（25%）以上」である。,○,正解！深夜労働（22時〜翌5時）も25%以上です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-015,part4,週運転時間,basic,バス運転者の「1週間」の運転時間は、4週間を平均して「40時間」を超えてはならない。,○,正解！【重要】トラックは「44時間」ですが、バスは「40時間」です。ここが大きな違いです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-016,part4,フェリー休息,basic,フェリー乗船時間は、所定の要件（休息の機会の確保等）を満たす場合、原則として「休息期間」として取り扱われる。,○,正解！この時間は拘束時間から除外（減算）されます。ただし、フェリー下船後から勤務終了までの時間は拘束時間に含まれます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-017,part4,2人乗務拘束時間,basic,貸切バスなどで2人乗務（ダブルドライバー）の場合、1日の最大拘束時間は、車両設備の有無にかかわらず一律「19時間」までである。,×,不正解！【2024年新基準】基本は19時間ですが、車両内に身体を伸ばして休息できる設備がある場合は最大「20時間」まで延長可能です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-018,part4,平均賃金,basic,平均賃金は、算定事由発生日以前「3ヶ月間」に支払われた賃金の総額を、その期間の総暦日数で除して計算する。,○,正解！解雇予告手当等の計算に使われます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-019,part4,産後就業制限,basic,産後8週間を経過しない女性を就業させてはならないが、産後6週間を経過した女性が請求した場合は、医師が支障がないと認めた業務に就かせることができる。,○,正解！本人の希望と医師の許可があれば6週以降は就業可能です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-020,part4,年少者深夜業,basic,満18歳に満たない者（年少者）には、深夜業（午後10時〜午前5時）をさせてはならない。,○,正解！バスの車掌などでも同様です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-021,part4,健康診断事後措置,basic,健康診断の結果、異常の所見があると診断された場合、医師の意見を勘案し、必要があると認めるときは、就業場所の変更などの措置を講じなければならない。,○,正解！健康管理義務です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-022,part4,深夜業健康診断,basic,深夜業（午後10時〜午前5時）を含む業務に常時従事する労働者に対しては、健康診断を「6ヶ月以内ごとに1回」行わなければならない。,○,正解！特定業務従事者の健診です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-023,part4,賃金支払5原則,basic,賃金は、通貨で、直接労働者に、全額を、毎月1回以上、一定の期日を定めて支払わなければならない。,○,正解！賃金支払いの5原則です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-024,part4,1日拘束時間,basic,バス運転者の1日の拘束時間は、原則として「13時間」以内とし、延長する場合でも最大「15時間」を超えてはならない。,○,正解！【2024年新基準】最大15時間です。14時間を超えることができるのは週3回までです。（※トラックと同じ数値になりました）,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-025,part4,解雇制限,basic,使用者は、労働者が業務上負傷し、療養のために休業する期間およびその後30日間は、解雇してはならない。,○,正解！解雇制限期間です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-026,part4,休日割増賃金,basic,休日労働を行わせた場合、その時間は「3割5分（35%）以上」の割増賃金を支払わなければならない。,○,正解！通常の残業（25%）より割増率が高いです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-027,part4,予期し得ない事象の除外,basic,予期し得ない事象（事故、故障、災害など）による遅延の場合、その対応に要した時間を拘束時間等の算入から「除外」することができる。,○,正解！単に超えてよいだけでなく、計算から除外できます。ただし、勤務終了後にその内容を記録（日報等）しておく必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-028,part4,就業規則意見聴取,basic,就業規則を作成・変更する場合、労働者の過半数代表者の「同意」を得なければならない。,×,不正解！必要なのは「意見を聴くこと（意見書の添付）」であり、同意権はありません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-029,part4,有給休暇時効,basic,年次有給休暇の請求権の時効は「2年」である。,○,正解！2年で消滅します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-030,part4,休憩時間,basic,労働時間が6時間を超える場合は少なくとも45分、8時間を超える場合は少なくとも1時間の休憩時間を与えなければならない。,○,正解！労働基準法の休憩時間の原則です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-031,part4,交替運転者と連続運転,basic,貸切バスの運行において、夜間に長距離を運行する場合、配置基準に従って交替運転者を配置すれば、連続運転時間の制限（4時間）は適用されない。,×,不正解！交替運転者がいても、1人の運転者が連続して運転できる時間は4時間までです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-032,part4,休日の定義,basic,改善基準告示における「休日」とは、原則として「連続24時間」のことをいう。,×,不正解！改善基準告示では「休息期間（9時間以上）＋24時間」の「連続33時間以上」を休日といいます。ただし、いかなる場合も30時間を下回ってはなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-033,part4,週運転時間特例,basic,1週間の運転時間が40時間を超える場合でも、貸切バスなどの乗務員については、労使協定があれば52週間（1年）のうち16週間までは「44時間」まで延長できる。,○,正解！繁忙期などの例外規定です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-034,part4,労働条件明示,basic,労働条件の明示は、原則として「書面」で行わなければならないが、労働者が希望した場合はファクシミリや電子メール等による明示も認められる。,○,正解！原則は書面交付ですが、労働者の希望があれば電子的方法も可能です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-035,part4,夜行高速バス実車距離,basic,高速バス（夜行）などの「ワンマン運行」の場合、1運行の実車走行距離は原則として「400km」が上限の目安とされている（条件により例外あり）。,○,正解！夜間ワンマンの長距離運行は過労リスクが高いため、厳しい制限があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-036,part4,法定帳簿保存,basic,使用者は、労働者名簿、賃金台帳、雇入れに関する書類などを「5年間（当分の間は3年間）」保存しなければならない。,○,正解！書類保存義務です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P4-037,part4,点呼記録保存,basic,「一般貸切旅客自動車運送事業（貸切バス）」において、点呼の記録は法令により「3年間」保存しなければならない。,○,正解！一般的な事業用自動車は1年ですが、貸切バスは安全規制強化により3年保存です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
